video_name,visual quality,temporal consistency,dynamic degree,text-to-video alignment,factual consistency
"solo,Xiangling,_carry_money_in_a_wallet__genshin_impact__,1girl,highres,_seed_1294598571.mp4",2.69,1.2,2.88,2.7,1.34
"solo,Xiangling,_shade_from_the_sun_with_an_umbrella__genshin_impact__,1girl,highres,_seed_3322535967.mp4",2.78,1.54,2.8,2.83,1.44
"solo,Xiangling,_change_channels_with_a_remote_control__genshin_impact__,1girl,highres,_seed_900516482.mp4",2.91,1.64,2.75,2.81,1.6
"solo,Xiangling,_pack_clothes_in_a_bag__genshin_impact__,1girl,highres,_seed_1830441848.mp4",2.81,1.62,2.81,2.91,1.59
"solo,Xiangling,_store_flowers_in_a_basket__genshin_impact__,1girl,highres,_seed_2209790483.mp4",2.8,1.5,2.73,2.81,1.47
"solo,Xiangling,_serve_soup_on_a_plate__genshin_impact__,1girl,highres,_seed_2874330799.mp4",2.78,1.46,2.88,2.86,1.52
"solo,Xiangling,_look_in_a_mirror__genshin_impact__,1girl,highres,_seed_3970688016.mp4",2.89,1.71,2.67,2.81,1.66
"solo,Xiangling,_organize_documents_in_a_folder__genshin_impact__,1girl,highres,_seed_3088899046.mp4",2.73,1.36,2.84,2.92,1.36
"solo,Xiangling,_stew_soup_in_a_pot__genshin_impact__,1girl,highres,_seed_94601712.mp4",2.81,1.27,2.98,2.89,1.27
"solo,Xiangling,_sweep_dust_with_a_broom__genshin_impact__,1girl,highres,_seed_3483804345.mp4",2.72,1.22,2.89,2.86,1.2
"solo,Xiangling,_serve_milk_in_a_cup__genshin_impact__,1girl,highres,_seed_2726786606.mp4",2.91,1.59,2.8,2.8,1.57
"solo,Xiangling,_store_fruits_in_a_basket__genshin_impact__,1girl,highres,_seed_3894895115.mp4",2.8,1.54,2.78,2.91,1.45
"solo,Xiangling,_bake_meat_in_an_oven__genshin_impact__,1girl,highres,_seed_2952770938.mp4",2.67,1.55,2.92,2.86,1.51
"solo,Xiangling,_store_candy_in_a_bag__genshin_impact__,1girl,highres,_seed_335895722.mp4",2.81,1.39,2.84,2.88,1.35
"solo,Xiangling,_store_trash_in_a_bag__genshin_impact__,1girl,highres,_seed_4130052080.mp4",2.72,1.25,2.86,2.77,1.27
"solo,Xiangling,_store_water_in_a_bottle__genshin_impact__,1girl,highres,_seed_2864860181.mp4",2.92,1.59,2.83,2.89,1.48
"solo,Xiangling,_serve_rice_on_a_plate__genshin_impact__,1girl,highres,_seed_1973143025.mp4",2.73,1.26,2.86,2.77,1.41
"solo,Xiangling,_serve_tea_in_a_cup__genshin_impact__,1girl,highres,_seed_371786328.mp4",2.89,1.54,2.81,2.84,1.47
"solo,Xiangling,_store_jam_in_a_jar__genshin_impact__,1girl,highres,_seed_4278438878.mp4",2.91,1.98,2.55,2.84,1.91
"solo,Xiangling,_serve_salad_in_a_bowl__genshin_impact__,1girl,highres,_seed_3262702916.mp4",2.84,1.84,2.59,2.84,1.73
"solo,Xiangling,_store_wine_in_a_bottle__genshin_impact__,1girl,highres,_seed_218350238.mp4",2.88,1.74,2.67,2.86,1.58
"solo,Xiangling,_serve_dessert_on_a_plate__genshin_impact__,1girl,highres,_seed_2261399072.mp4",2.84,1.49,2.78,2.84,1.41
"solo,Xiangling,_take_photos_with_a_camera__genshin_impact__,1girl,highres,_seed_2687423072.mp4",2.88,1.52,2.78,2.83,1.53
"solo,Xiangling,_cut_meat_with_a_knife__genshin_impact__,1girl,highres,_seed_3022493544.mp4",2.78,1.27,2.91,2.78,1.29
"solo,Xiangling,_check_health_status_with_a_thermometer__genshin_impact__,1girl,highres,_seed_3530484100.mp4",2.86,1.52,2.83,2.83,1.47
"solo,Xiangling,_brush_teeth_with_a_toothbrush__genshin_impact__,1girl,highres,_seed_2612536091.mp4",2.75,1.23,2.91,2.67,1.44
"solo,Xiangling,_shave_with_a_razor__genshin_impact__,1girl,highres,_seed_3140464511.mp4",2.8,1.14,2.97,2.78,1.26
"solo,Xiangling,_dry_hair_with_a_towel__genshin_impact__,1girl,highres,_seed_4154310316.mp4",2.89,1.59,2.75,2.81,1.55
"solo,Xiangling,_clean_the_floor_with_a_vacuum_cleaner__genshin_impact__,1girl,highres,_seed_3041366259.mp4",2.75,1.53,2.86,2.94,1.54
"solo,Xiangling,_store_gifts_in_a_box__genshin_impact__,1girl,highres,_seed_2436852429.mp4",2.77,1.3,2.86,2.81,1.27
